title,url,description,comment,tags
3Blue1Brown,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,"3Blue1Brown, by Grant Sanderson, is some combination of math and entertainment, depending on your disposition. The goal is for explanations to be driven by a...",,
12 Parsecs,https://www.youtube.com/channel/UCkMsSGlEMPRxhqvGj6qeucQ,"Bienvenue sur la chaine de l'à peu près...Parce que tout ce que je raconte, on va dire que c'est à peu près ça...",,
Ahoy,https://www.youtube.com/channel/UCE1jXbVAGJQEORz9nZqb5bQ,Insightful gaming videos.,,
ANALEPSE,https://www.youtube.com/channel/UCDB2qWL_20CgNC22fgPz00w,"Analepse vous propose de revenir sur un personnage, un évènement, un contexte historique au travers d'œuvres artistiques et culturelles.Romans, bandes dessin...",,
Asclépios,https://www.youtube.com/channel/UCDqEttzOpPbDoeC05HRPPDQ,"La Médecine à l'ancienne, genre... Vraiment à l'ancienne",,
AstronoGeek,https://www.youtube.com/channel/UC5X4e8ScZI2AFd_vkjSoyoQ,"AstronoGeek, c'est une chaîne dédiée à la vulgarisation de l'astronomie. Bordel de merde.",,
Ave'Roes,https://www.youtube.com/channel/UCMGzPGJMKKDjnproamSIC1A,"Romain, alias Ave’Roes.5 ans à étudier l’histoire (surtout médiévale !).Je vous aide à comprendre réellement l’islam et l’histoire arabo-musulmane… au-delà d...",,
Bazar du Grenier,https://www.youtube.com/channel/UCCMxHHciWRBBouzk-PGzmtQ,"La chaîne ""fourre tout"" du grenier ! - Cinéma- Jeux de rôles- Let's play- Reviews de jeux !",,
Bismuth,https://www.youtube.com/channel/UCQ9STd0zeHrrQGJQEuvhuTw,World record and tool-assisted speedrun explanations,,
Bolchegeek,https://www.youtube.com/channel/UCEfpbmshpf-G90fGLla73kA,"La chaîne Bolchegeek aborde la culture populaire sous des angles artistiques, sociaux et politiques.Cinoche, BD, séries, bouquins ou jeux vidéo : on s'interr...",,
Calmos,https://www.youtube.com/channel/UCYBr8enT5x4-JIxcPY6y-_A,"Calmos c’est une chaîne YouTube, un podcast, et une foule d’autres petites choses pour les gens bien comme vous qui aimez le cinéma.Ça s'appelle Calmos parce...",,
CGP Grey,https://www.youtube.com/channel/UC2C_jShtL725hvbm1arSV9w,"Share your videos with friends, family, and the world",,
Chat Sceptique,https://www.youtube.com/channel/UCOuIgj0CYCXCvjWywjDbauw,"Chat Sceptique est un projet belge de vulgarisation scientifique sur YouTube axé sur les stats, les maths et l'esprit critique... avec en vedette des petits ...",,
Cody'sLab,https://www.youtube.com/channel/UCu6mSoMNzHQiBIOCkHUa2Aw,"Aright everyone Cody here!Welcome to my channel! I simply post videos with science, bees, and anything else that I am working on. Enjoy!If you need to get in...",,
Confessions d'Histoire,https://www.youtube.com/channel/UCzj9-ZfpJ74vYv1RZzAWTVg,"Enfin, il était temps de donner directement la parole aux grands personnages historiques pour qu'ils nous donnent leur point de vue sur les événements marqua...",,
Curiosity Catalyst,https://www.youtube.com/channel/UCg47pIhBRJbz52-ABnm0uxw,Un regard sceptique sur le monde.Membre du Café des sciences .Toutes les vidéos de la chaîne Curiosity Catalyst sont sous licence Créative Common : CC-BY-NC-SA,,
Data Gueule,https://www.youtube.com/channel/UCm5wThREh298TkK8hCT9HuA,"Chaque jour, nous sommes bombardés par des milliers de molécules d'information. Des faits, des noms, des chiffres qui s'empilent et se percutent sans que, po...",,
Deerstalker Pictures,https://www.youtube.com/channel/UCEqT_Q5_ijLOcVv930jSimg,"New videos every Wednesday! Making 1 For All, an original fantasy comedy webseries. Check out our live-action cosplay short films and skits from popular vide...",,
Deus Ex Silicium,https://www.youtube.com/channel/UCH6ppHEvV3_WIXEwmhv9HEg,"DEUS EX SILICIUM est une chaine francophone dont la thématique principale est l'électronique numérique, et plus particulièrement autour des semiconducteurs e...",,
Diable Positif,https://www.youtube.com/channel/UCI_FnSJPNGd3Y3IL0PwD-NQ,"Découvrons ensemble comment rendre la vie sur Terre encore plus pourrie qu'elle ne l'est déjà voulez-vous ?Ensemble, nous allons étudier différents procédés ...",,
